sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
1125,1187006834.2746582,0.274658203125,-2047.725341796875,2.5788508502940423e-19,V1,2.5788508502940423e-19,1.0,6.650471708062305e-38
1126,1187006834.2749023,0.27490234375,-2047.72509765625,2.0707317583957722e-19,V1,2.0707317583957722e-19,1.0,4.2879300152288467e-38
1127,1187006834.2751465,0.275146484375,-2047.724853515625,2.4236504266698723e-19,V1,2.4236504266698723e-19,1.0,5.874081390697054e-38
1128,1187006834.2753906,0.275390625,-2047.724609375,2.0202579377804792e-19,V1,2.0202579377804792e-19,1.0,4.081442135165034e-38
1129,1187006834.2756348,0.275634765625,-2047.724365234375,2.2453984429268217e-19,V1,2.2453984429268217e-19,1.0,5.041814167498195e-38
1130,1187006834.275879,0.27587890625,-2047.72412109375,2.0029069722599564e-19,V1,2.0029069722599564e-19,1.0,4.0116363395275463e-38
1131,1187006834.276123,0.276123046875,-2047.723876953125,1.9451070892401845e-19,V1,1.9451070892401845e-19,1.0,3.783441588612423e-38
1132,1187006834.2763672,0.2763671875,-2047.7236328125,1.7409596521711708e-19,V1,1.7409596521711708e-19,1.0,3.030940510487964e-38
1133,1187006834.276611,0.276611328125,-2047.723388671875,1.468290233905195e-19,V1,1.468290233905195e-19,1.0,2.1558762109813723e-38
1134,1187006834.2768557,0.27685546875,-2047.72314453125,1.584627858976247e-19,V1,1.584627858976247e-19,1.0,2.5110454514436447e-38
1135,1187006834.2770996,0.277099609375,-2047.722900390625,1.2757677108948336e-19,V1,1.2757677108948336e-19,1.0,1.6275832521618435e-38
1136,1187006834.2773438,0.27734375,-2047.72265625,1.243585250873782e-19,V1,1.243585250873782e-19,1.0,1.546504276190807e-38
1137,1187006834.277588,0.277587890625,-2047.722412109375,1.0210843250206561e-19,V1,1.0210843250206561e-19,1.0,1.0426131988028887e-38
1138,1187006834.277832,0.27783203125,-2047.72216796875,1.4633834861458685e-19,V1,1.4633834861458685e-19,1.0,2.141491227524435e-38
1139,1187006834.2780762,0.278076171875,-2047.721923828125,7.516708413034955e-20,V1,7.516708413034955e-20,1.0,5.6500905366590473e-39
1140,1187006834.2783203,0.2783203125,-2047.7216796875,1.0188238814126044e-19,V1,1.0188238814126044e-19,1.0,1.0380021013366444e-38
1141,1187006834.2785645,0.278564453125,-2047.721435546875,9.527736281125008e-20,V1,9.527736281125008e-20,1.0,9.07777586426658e-39
1142,1187006834.2788086,0.27880859375,-2047.72119140625,9.862977043585432e-20,V1,9.862977043585432e-20,1.0,9.727831616229323e-39
1143,1187006834.2790527,0.279052734375,-2047.720947265625,7.148924745719217e-20,V1,7.148924745719217e-20,1.0,5.110712501995657e-39
1144,1187006834.2792969,0.279296875,-2047.720703125,6.384936349601137e-20,V1,6.384936349601137e-20,1.0,4.076741218845789e-39
1145,1187006834.279541,0.279541015625,-2047.720458984375,5.4417140259705e-20,V1,5.4417140259705e-20,1.0,2.9612251540444066e-39
1146,1187006834.2797852,0.27978515625,-2047.72021484375,2.0611485881457206e-20,V1,2.0611485881457206e-20,1.0,4.248333502415097e-40
1147,1187006834.2800293,0.280029296875,-2047.719970703125,2.1629624684861212e-20,V1,2.1629624684861212e-20,1.0,4.6784066400795756e-40
1148,1187006834.2802734,0.2802734375,-2047.7197265625,-7.174710907433485e-21,V1,7.174710907433485e-21,-1.0,5.147647660524502e-41
1149,1187006834.2805176,0.280517578125,-2047.719482421875,2.075105996801179e-20,V1,2.075105996801179e-20,1.0,4.3060648979602145e-40
1150,1187006834.2807617,0.28076171875,-2047.71923828125,-2.5762766737681822e-20,V1,2.5762766737681822e-20,-1.0,6.637201499802049e-40
1151,1187006834.281006,0.281005859375,-2047.718994140625,9.679985388186363e-21,V1,9.679985388186363e-21,1.0,9.370211711550147e-41
1152,1187006834.28125,0.28125,-2047.71875,-3.2096439437920676e-20,V1,3.2096439437920676e-20,-1.0,1.0301814245921097e-39
1153,1187006834.281494,0.281494140625,-2047.718505859375,-1.2315821711206296e-20,V1,1.2315821711206296e-20,-1.0,1.5167946442222036e-40
1154,1187006834.2817383,0.28173828125,-2047.71826171875,-3.413854985482973e-20,V1,3.413854985482973e-20,-1.0,1.1654405861906947e-39
1155,1187006834.2819824,0.281982421875,-2047.718017578125,-3.0297896761279816e-20,V1,3.0297896761279816e-20,-1.0,9.1796254815717e-40
1156,1187006834.2822266,0.2822265625,-2047.7177734375,-2.855713353580193e-20,V1,2.855713353580193e-20,-1.0,8.155098757816232e-40
1157,1187006834.2824707,0.282470703125,-2047.717529296875,-5.078414848137127e-20,V1,5.078414848137127e-20,-1.0,2.5790297369779637e-39
1158,1187006834.2827148,0.28271484375,-2047.71728515625,-5.441004346455616e-20,V1,5.441004346455616e-20,-1.0,2.9604528298148906e-39
1159,1187006834.282959,0.282958984375,-2047.717041015625,-8.302007867152428e-20,V1,8.302007867152428e-20,-1.0,6.89233346262608e-39
1160,1187006834.2832031,0.283203125,-2047.716796875,-5.489031082319182e-20,V1,5.489031082319182e-20,-1.0,3.0129462222666086e-39
1161,1187006834.2834473,0.283447265625,-2047.716552734375,-1.0219236413563712e-19,V1,1.0219236413563712e-19,-1.0,1.0443279287630652e-38
